os_name,fec_name,district,party,receipts
Cam Cavasso,"CAVASSO, CAMPBELL",HI-1,R,23158.00
Ed Case,"CASE, ED",HI-1,D,354333.33
Brian Evans,"CAPELOUTO, MARISSA MS",HI-2,R,0
Tulsi Gabbard,"GABBARD, TULSI",HI-2,D,1192079.72
Rod Blum,"BLUM, RODNEY",IA-1,R,1780865.75
Abby Finkenauer,"FINKENAUER, ABBY",IA-1,D,1862401.01
Christopher Peters,"PETERS, CHRISTOPHER",IA-2,R,523323.12
David Loebsack,"LOEBSACK, DAVID WAYNE",IA-2,D,1549155.59
David Young,"YOUNG, DAVID",IA-3,R,1758963.07
Cindy Axne,"AXNE, CINDY",IA-3,D,1076542.69
Russ Fulcher,"FULCHER, RUSS",ID-1,R,612499.23
Cristina McNeil,"MCNEIL, ANA",ID-1,D,5955.55
Mike Simpson,"SIMPSON, MICHAEL",ID-2,R,806869.59
Aaron Swisher,"SWISHER, CARLTON AARON",ID-2,D,67074.89
Bobby L Rush,"RUSH, BOBBY LEE",IL-1,D,267475.00
Jimmy Lee Tillman,"TILLMAN II, JIMMY LEE",IL-1,R,0
Mike Quigley,"QUIGLEY, MIKE",IL-5,D,1014642.25
Tom Hanson,"KAY, DANIEL S (KARKUSIEWICZ)",IL-5,R,0
Danny K Davis,"DAVIS, DANNY K",IL-7,D,289868.35
Sean Casten,"CASTEN, SEAN",IL-6,D,2038971.31
Peter Roskam,"ROSKAM, PETER",IL-6,R,4429669.35
Jitendra Diganvker,"DIGANVKER, JITENDRA JD",IL-8,R,29862.77
Raja Krishnamoorthi,"KRISHNAMOORTHI, S. RAJA",IL-8,D,4286749.37
Douglas Bennett,"BENNETT, DOUGLAS R 1963",IL-10,R,204824.58
Brad Schneider,"SCHNEIDER, BRADLEY SCOTT",IL-10,D,3575696.90
Adam Kinzinger,"KINZINGER, ADAM",IL-16,R,1471155.81
Sara Dady,"DADY, SARA",IL-16,D,214704.88
Randy Hultgren,"HULTGREN, RANDY",IL-14,R,1440427.96
Lauren A Underwood,"UNDERWOOD, LAUREN A",IL-14,D,1129202.81
Rodney Davis,"DAVIS, RODNEY L",IL-13,R,2377519.75
Betsy Dirksen Londrigan,"LONDRIGAN, BETSY DIRKSEN",IL-13,D,1348943.83
John M Shimkus,"SHIMKUS, JOHN M",IL-15,R,1482588.33
Kevin Gaither,"GAITHER, KEVIN",IL-15,D,29622.37
Bill Fawell,"FAWELL, WILLIAM W",IL-17,R,24072.00
Cheri Bustos,"BUSTOS, CHERI",IL-17,D,2872475.45
Junius Rodriguez,"RODRIGUEZ, JUNIUS",IL-18,D,40253.37
Darin LaHood,"LAHOOD, DARIN MCKAY",IL-18,R,1852447.79
Mark Leyva,"IVANOVICH, ROSEANN P.",IN-1,R,9910.32
Pete Visclosky,"VISCLOSKY, PETER J.",IN-1,D,872339.93
Jackie Walorski,"WALORSKI SWIHART, JACKIE",IN-2,R,2062652.93
Mel Hall,"HALL, MEL",IN-2,D,1419241.54
Jim Banks,"BANKS, JAMES E",IN-3,R,765391.28
Courtney Tritch,"TRITCH, COURTNEY",IN-3,D,499736.35
Jim Baird,"BAIRD, JAMES R PHD",IN-4,R,297398.00
Tobi Beck,"BECK, TOBI",IN-4,D,63666.89
Larry Bucshon,"BUCSHON, LARRY D.",IN-8,R,698071.05
William Tanoos,"TANOOS, WILLIAM",IN-8,D,155524.25
Trey Hollingsworth,"HOLLINGSWORTH, TREY",IN-9,R,1150272.68
Liz Watson,"WATSON, LIZ",IN-9,D,1072969.71
Roger Marshall,"MARSHALL, ROGER W",KS-1,R,1104176.63
Alan LaPolice,"LAPOLICE, ALAN",KS-1,D,113071.00
Paul Davis,"DAVIS, PAUL T.",KS-2,D,1607261.61
Steve Watkins,"WATKINS, STEVE",KS-2,R,640158.53
Kevin Yoder,"YODER, KEVIN",KS-3,R,2785787.42
Sharice Davids,"DAVIDS, SHARICE",KS-3,D,345304.14
Ron Estes,"ESTES, RON",KS-4,R,1456437.92
James Thompson,"THOMPSON, JAMES A MR.",KS-4,D,1124988.69
Hal Rogers,"ROGERS, HAROLD DALLAS",KY-5,R,635286.55
Kenneth Stepp,"STEPP, KENNETH STEPHENSON",KY-5,D,1466.00
Andy Barr,"BARR, GARLAND ANDY",KY-6,R,3168918.85
Amy McGrath,"MCGRATH, AMY",KY-6,D,3024975.32
Andy Harris,"HARRIS, ANDREW P",MD-1,R,1239433.80
Jesse Colvin,"COLVIN, JESSE",MD-1,D,691475.94
Liz Matory,"MATORY, LIZ",MD-2,R,10614.42
Dutch Ruppersberger,"RUPPERSBERGER, C.A. DUTCH",MD-2,D,757580.99
Charles Anthony,"PLASTER, MARK LEROY MD",MD-3,R,3000.00
John Sarbanes,"SARBANES, JOHN P. MR.",MD-3,D,856622.57
Steny H Hoyer,"HOYER, STENY",MD-5,D,3104857.04
Amie Hoeber,"HOEBER, AMIE",MD-6,R,292950.53
David Trone,"TRONE, DAVID",MD-6,D,11976390.14
John Bergman,"BERGMAN, JOHN",MI-1,R,943231.63
Bill Huizenga,"HUIZENGA, WILLIAM P",MI-2,R,1590059.85
Rob Davidson,"DAVIDSON, ROBERT MICHAEL DR",MI-2,D,498408.11
Justin Amash,"AMASH, JUSTIN",MI-3,R,556233.74
Catherine Albro,"ALBRO, CATHERINE",MI-3,D,61960.70
Tim Walberg,"WALBERG, TIMOTHY L REP",MI-7,R,1564976.77
Gretchen Driskell,"DRISKELL, GRETCHEN",MI-7,D,1358855.67
Mike Bishop,"BISHOP, MIKE",MI-8,R,2189717.42
Elissa Slotkin,"SLOTKIN, ELISSA",MI-8,D,3034436.97
Andy Levin,"LEVIN, ANDY",MI-9,D,900935.29
Candius Stearns,"STEARNS, CANDIUS MRS.",MI-9,R,217081.00
John Moolenaar,"MOOLENAAR, JOHN MR.",MI-4,R,817254.52
Debbie Dingell,"DINGELL, DEBBIE",MI-12,D,869214.39
Jeff Jones,"JONES, JEFF",MI-12,R,13665.00
Paul Mitchell,"MITCHELL, PAUL III",MI-10,R,540224.49
Kimberly Bizon,"BIZON, KIMBERLY ANN",MI-10,D,32435.00
Rashida Tlaib,"TLAIB, RASHIDA",MI-13,D,1067091.84
Brenda Lawrence,"LAWRENCE, BRENDA LULENAR",MI-14,D,588023.87
Marc Herschfus,"KLAUSNER, HOWARD ANDREW",MI-14,R,0
Jim Hagedorn,"HAGEDORN, JAMES",MN-1,R,847791.91
Daniel Feehan,"FEEHAN, DANIEL",MN-1,D,1132405.32
Betty McCollum,"MCCOLLUM, BETTY",MN-4,D,626948.97
Greg Ryan,"RYAN, GREGORY",MN-4,R,8586.31
Ilhan Omar,"OMAR, ILHAN",MN-5,D,246268.21
Jennifer L Zielinski,"ZIELINSKI, JENNIFER L",MN-5,R,6526.12
Joe Radinovich,"RADINOVICH, JOSEPH",MN-8,D,333198.81
Pete Stauber,"STAUBER, PETE",MN-8,R,960477.83
William L Clay Jr.,"CLAY, WILLIAM LACY JR",MO-1,D,407201.95
Robert Vroman,"ELDER, DANIEL ",MO-1,R,0
Billy Long,"LONG, BILLY MR.",MO-7,R,1226618.29
Jamie Schoolcraft,"SCHOOLCRAFT, JAMIE DANIEL",MO-7,D,13053.66
Blaine Luetkemeyer,"LUETKEMEYER, W BLAINE",MO-3,R,1855498.85
Katy Geppert,"GEPPERT, KATY",MO-3,D,11452.20
Vicky Hartzler,"HARTZLER, VICKY",MO-4,R,840043.86
Renee Hoagenson,"HOAGENSON, SUZANNE RENEE",MO-4,D,241838.95
Sam Graves,"GRAVES, SAMUEL B JR 'SAM'",MO-6,R,1331999.77
Henry Martin,"MARTIN, HENRY ROBERT",MO-6,D,9357.06
Trent Kelly,"KELLY, JOHN TRENT TRENT",MS-1,R,654855.44
Randy Wadkins,"WADKINS, RANDY MACK DR.",MS-1,D,124019.37
Bennie G Thompson,"THOMPSON, BENNIE G.",MS-2,D,681016.49
Steven Palazzo,"PALAZZO, STEVEN MCCARTY",MS-4,R,592901.59
Jeramey Anderson,"ANDERSON, JERAMEY DEWAYNE",MS-4,D,76561.11
G K Butterfield,"BUTTERFIELD, G. K.",NC-1,D,577403.27
Roger Allison,"ALLISON, ROGER",NC-1,R,9215.00
George Holding,"HOLDING, GEORGE E MR.",NC-2,R,1858717.76
Linda Coleman,"COLEMAN, LINDA",NC-2,D,299723.22
Steve Loor,"KIMBALL, TEIJI NORMAN",NC-4,R,0
David Price,"PRICE, DAVID E",NC-4,D,611698.24
Mark Walker,"WALKER, BRADLEY MARK MR.",NC-6,R,978823.02
Ryan Watts,"WATTS, RYAN",NC-6,D,206649.27
David Rouzer,"ROUZER, DAVID CHESTON",NC-7,R,1160774.02
Kyle Horton,"HORTON, LAUREN",NC-7,D,343299.27
Richard Hudson,"HUDSON, RICHARD L. JR.",NC-8,R,1791718.06
Frank McNeill,"MCNEILL, FRANK",NC-8,D,360918.51
Patrick McHenry,"MCHENRY, PATRICK",NC-10,R,2943666.05
Dennis Macek,"QUEEN, KENNETH PAUL",NC-10,D,3627.22
Mark R Meadows,"MEADOWS, MARK R",NC-11,R,877217.99
Phillip Price,"PRICE, PHILLIP",NC-11,D,56622.66
Alma Adams,"ADAMS, ALMA SHEALEY",NC-12,D,399011.78
Paul Wright,"COTHAM, PATRICIA A",NC-12,D,0.00
Ted Budd,"BUDD, THEODORE",NC-13,R,1219617.15
Kathy Manning,"MANNING, KATHY",NC-13,D,1935360.55
Don Bacon,"BACON, DONALD J",NE-2,R,1841307.94
Kara Eastman,"EASTMAN, KARA",NE-2,D,783953.35
Paul Theobald,"THEOBALD, PAUL GILBERT",NE-3,D,39500.85
Adrian Smith,"SMITH, ADRIAN",NE-3,R,988873.69
Jeff Fortenberry,"FORTENBERRY, JEFFREY L. HONORABLE",NE-1,R,576324.65
Jessica McClure,"MCCLURE, JESSICA",NE-1,D,29075.30
Don Norcross,"NORCROSS, DONALD W",NJ-1,D,1638101.38
Paul Dilks,"DILKS, PAUL E",NJ-1,R,2300.00
Thomas MacArthur,"MACARTHUR, THOMAS",NJ-3,R,2357696.60
Andy Kim,"KIM, ANDY",NJ-3,D,2166596.70
Josh Welle,"WELLE, JOSH",NJ-4,D,638862.64
Chris Smith,"SMITH, CHRISTOPHER H",NJ-4,R,813674.80
Rich Pezzullo,"PEZZULLO, RICHARD J.",NJ-6,R,80260.00
Frank Pallone Jr.,"PALLONE, FRANK JR",NJ-6,D,1755087.58
Donald M Payne Jr.,"PAYNE, DONALD M., JR.",NJ-10,D,424520.03
Tom Malinowski,"MALINOWSKI, TOM",NJ-7,D,2315868.84
Leonard Lance,"LANCE, LEONARD",NJ-7,R,1540918.10
Jerald Steve McFall,"MULLINS, THOMAS E",NM-3,R,0.00
Ben R Lujan,"LUJAN, BEN R MR.",NM-3,D,1492515.83
Joyce Bentley,"TATNER, JOSEPH LANCE",NV-1,R,0
Dina Titus,"TITUS, DINA",NV-1,D,505899.03
Clint Koble,"KOBLE, CLINT MATTHEW MR.",NV-2,D,73009.08
Mark Amodei,"AMODEI, MARK EUGENE EUGENE",NV-2,R,923398.58
Danny Tarkanian,"TARKANIAN, DANNY",NV-3,R,1387929.79
Susie Lee,"LEE, SUSIE",NV-3,D,2137489.52
Lee Zeldin,"ZELDIN, LEE M",NY-1,R,3066122.84
Perry Gershon,"GERSHON, PERRY",NY-1,D,2202175.52
Tom Suozzi,"SUOZZI, THOMAS",NY-3,D,2120782.71
Dan Debono,"DEBONO, DAN",NY-3,R,312311.51
Ameer Benno,"BENNO, AMEER",NY-4,R,30266.00
Kathleen Rice,"RICE, KATHLEEN",NY-4,D,1128724.18
Nydia M Velazquez,"VELAZQUEZ, NYDIA M.",NY-7,D,790580.68
Dan Donovan,"DONOVAN, DAN",NY-11,R,1815123.06
Max Rose,"ROSE, MAX",NY-11,D,1951382.46
Anthony Pappas,"BLANK, ROGER",NY-14,R,0
Alexandria Ocasio-Cortez,"OCASIO-CORTEZ, ALEXANDRIA",NY-14,D,875532.46
Jose E Serrano,"SERRANO, JOSE E.",NY-15,D,199795.67
Adriano Espaillat,"ESPAILLAT, ADRIANO",NY-13,D,625688.31
Jineea Butler,"BUTLER, JINEEA THE NEW AM",NY-13,R,5927.73
Eliot L Engel,"ENGEL, ELIOT L.",NY-16,D,1312910.00
James O'Donnell,"O'DONNELL, JAMES D",NY-18,R,267334.00
Sean Patrick Maloney,"MALONEY, SEAN PATRICK",NY-18,D,2341774.13
John Faso,"FASO, JOHN J. MR.",NY-19,R,2314821.67
Antonio Delgado,"DELGADO, ANTONIO",NY-19,D,2752878.21
