District,Incumbent,Primary,Democrat,D Funds,538 D Wins %,538 D $/%,Cook D $/%,Republican,R Funds,538 R Wins %,538 R $/%,Cook R $/%,Cook,%Clinton 2016,%Obama 2012
NJ-7,Leonard Lance,,Tom Malinowski,"$2,315,869",60.83%,"38,071.16","49,273.81",Leonard Lance,"$1,540,918",39.17%,"39,339.24","29,073.93",Toss Up R,48.60%,46.30%
CA-45,Mimi Walters,,Katie Porter,"$2,083,718",54.51%,"38,227.74","44,334.42",Mimi Walters,"$2,934,611",45.49%,"64,508.29","55,370.02",Toss Up R,49.80%,43.00%
WA-3,Jaime Herrera Beutler,,Carolyn Long,"$662,065",15.94%,"41,540.02","50,928.07",Jaime Herrera Beutler,"$1,518,352",84.06%,"18,062.29","17,452.32",Lean R,42.50%,47.90%
GA-7,Rob Woodall,,Carolyn Bourdeaux,"$852,299",19.89%,"42,842.03","170,459.88",Rob Woodall,"$724,912",80.11%,"9,049.41","7,630.65",Likely R,44.80%,38.30%
MT-1,Greg Gianforte,,Kathleen Williams,"$799,548",18.22%,"43,892.61","61,503.67",Greg Gianforte,"$7,057,259",81.77%,"86,301.99","81,117.92",Lean R,35.90%,41.70%
TX-7,John Culberson,,Lizzie Fletcher,"$2,321,870",52.16%,"44,516.08","49,401.48",John Culberson,"$2,024,361",47.84%,"42,313.48","38,195.50",Toss Up R,48.50%,38.60%
NC-9,Open seat,,Dan McCready,"$2,673,739",59.32%,"45,074.67","56,888.07",Mark Harris,"$931,016",40.68%,"22,887.45","17,566.33",Toss Up R,42.80%,43.80%
NJ-3,Tom MacArthur,,Andy Kim,"$2,166,597",46.95%,"46,150.83","46,097.80",Thomas MacArthur,"$2,357,697",53.05%,"44,442.91","44,484.84",Toss Up R,45.20%,51.80%
IL-13,Rodney Davis,,Betsy Dirksen Londrigan,"$1,348,944",29.03%,"46,470.44","103,764.91",Rodney Davis,"$2,377,520",70.97%,"33,499.40","27,327.81",Lean R,44.20%,48.60%
IL-14,Randy Hultgren,,Lauren A Underwood,"$1,129,203",24.27%,"46,519.02","86,861.75",Randy Hultgren,"$1,440,428",75.73%,"19,021.58","16,556.64",Lean R,44.80%,44.20%
MI-7,Tim Walberg,,Gretchen Driskell,"$1,358,856",27.84%,"48,802.46","271,771.13",Tim Walberg,"$1,564,977",72.16%,"21,688.80","16,473.44",Likely R,38.70%,47.90%
IL-6,Peter J. Roskam,,Sean Casten,"$2,038,971",41.75%,"48,835.30","43,382.37",Peter Roskam,"$4,429,669",58.25%,"76,048.44","83,578.67",Toss Up R,50.20%,45.10%
AR-2,French Hill,,Clarke Tucker,"$975,518",19.97%,"48,844.28","75,039.85",French Hill,"$1,954,935",80.03%,"24,428.14","22,470.52",Lean R,41.70%,42.90%
FL-26,Carlos Curbelo,2018-8-28,Debbie Mucarsel-Powell,"$1,881,076",38.17%,"49,276.37","144,698.15",Carlos Curbelo,"$3,760,014",61.83%,"60,816.06","43,218.55",Lean R,56.80%,55.40%
CA-21,David Valadao,,TJ Cox,"$1,326,532",25.41%,"52,205.11","265,306.39",David Valadao,"$2,305,340",74.59%,"30,906.82","24,266.74",Likely R,55.20%,54.60%
NJ-11,Open seat,,Mikie Sherrill,"$4,236,126",79.83%,"53,066.99","48,691.10",Jay Webber,"$574,410",20.17%,"28,472.80","44,185.41",Lean D,47.90%,46.60%
NY-19,John Faso,,Antonio Delgado,"$2,752,878",51.59%,"53,358.63","58,571.88",John Faso,"$2,314,822",48.41%,"47,818.99","43,675.88",Toss Up R,44.00%,52.10%
NC-13,Ted Budd,,Kathy Manning,"$1,935,361",32.90%,"58,825.55","148,873.89",Ted Budd,"$1,219,617",67.10%,"18,176.11","14,018.59",Lean R,44.00%,46.10%
OH-14,David Joyce,,Betsy Rader,"$1,035,034",15.87%,"65,219.53","207,006.80",David P Joyce,"$1,559,510",84.13%,"18,536.91","16,415.90",Likely R,42.10%,47.60%
MI-8,Mike Bishop,,Elissa Slotkin,"$3,034,437",46.17%,"65,728.83","64,562.49",Mike Bishop,"$2,189,717",53.83%,"40,675.36","41,315.42",Toss Up R,43.90%,48.00%
KY-6,Andy Barr,,Amy McGrath,"$3,024,975",45.78%,"66,079.24","64,361.18",Andy Barr,"$3,168,919",54.22%,"58,443.42","59,790.92",Toss Up R,39.40%,42.20%
FL-25,Mario Diaz-Balart,2018-8-28,Mary Barzee Flores,"$1,276,855",17.64%,"72,400.49","255,371.00",Mario Diaz-Balart,"$1,769,179",82.36%,"21,480.00","18,622.93",Likely R,47.90%,44.90%
FL-16,Vern Buchanan,2018-8-28,David Shapiro,"$1,305,627",15.08%,"86,603.03","100,432.86",Vern Buchanan,"$2,212,444",84.92%,"26,052.04","25,430.39",Lean R,43.00%,45.10%
VA-2,Scott Taylor,,Elaine Luria,"$1,318,926",15.13%,"87,184.41","28,062.25",Scott W Taylor,"$2,741,096",84.87%,"32,296.82","51,718.79",Toss Up R,45.40%,48.20%
NY-11,Daniel Donovan,,Max Rose,"$1,951,382",21.67%,"90,066.58","390,276.49",Dan Donovan,"$1,815,123",78.33%,"23,172.18","19,106.56",Likely R,43.80%,51.60%
TX-32,Pete Sessions,,Colin Allred,"$1,916,601",21.27%,"90,116.68","40,778.75",Pete Sessions,"$2,750,176",78.73%,"34,933.52","51,890.11",Toss Up R,48.50%,41.50%
UT-4,Mia Love,,Ben McAdams,"$1,677,141",18.12%,"92,557.44","129,010.83",Mia Love,"$3,309,542",81.88%,"40,419.42","38,040.71",Lean R,32.40%,30.20%
WA-5,Cathy McMorris Rodgers,,Lisa Brown,"$2,393,048",23.99%,"99,751.88","184,080.58",Cathy McMorris Rodgers,"$3,854,842",76.01%,"50,714.93","44,308.53",Lean R,39.10%,43.70%
WI-6,Glenn Grothman,,Dan Kohl,"$1,723,543",17.16%,"100,439.59","344,708.66",Glenn S Grothman,"$1,314,788",82.84%,"15,871.42","13,839.87",Likely R,38.80%,45.80%
CA-39,Open seat,,Gil Cisneros,"$5,512,130",53.63%,"102,788.38","117,279.35",Young Kim,"$1,283,994",46.37%,"27,687.81","24,226.31",Toss Up R,51.50%,47.10%
TX-31,John Carter,,Mary Jennings Hegar,"$1,618,359",15.39%,"105,156.56","323,671.89",John Carter,"$1,015,417",84.61%,"12,001.43","10,688.60",Likely R,40.80%,38.30%
FL-6,Open seat,2018-8-28,Nancy Soderberg,"$1,707,297",16.21%,"105,297.69","341,459.34",Michael Waltz,"$1,066,996",83.79%,"12,734.78","11,231.54",Likely R,39.90%,46.60%
OH-12,Troy Balderson,,Danny O'Connor,"$5,549,167",42.06%,"131,928.28","426,859.02",Troy Balderson,"$1,771,407",57.94%,"30,574.18","20,361.00",Lean R,41.90%,43.90%
PA-1,Brian Fitzpatrick,,Scott Wallace,"$5,381,019",29.38%,"183,164.91","413,924.51",Brian Fitzpatrick,"$2,338,452",70.62%,"33,112.24","26,878.76",Lean R,49.10%,50.20%
WI-1,Open seat,,Randy Bryce,"$6,254,755",26.72%,"234,085.13","481,134.97",Bryan Steil,"$750,337",73.27%,"10,240.71","8,624.56",Lean R,42.30%,47.40%
