District,D Lite %,D Deluxe %,D Classic %,R Lite %,R Reluxe %,R Classic %
NV-4,0.7655,0.9107600000000001,0.87964,0.2345,0.08924,0.12036
NV-3,0.63068,0.78594,0.7438400000000001,0.3693199999999999,0.21406,0.25616
NV-2,0.06286,0.00938,0.01318,0.93714,0.99062,0.98682
NV-1,0.99976,0.99992,0.9998999999999999,0.00024,8.0e-05,0.0001
NY-9,1.0,1.0,1.0,0.0,0.0,0.0
NY-8,1.0,1.0,1.0,0,0,0
NY-7,1.0,1.0,1.0,0,0,0
NY-6,0.99984,0.99984,0.99984,0,0,0
NY-5,1.0,1.0,1.0,0,0,0
NY-4,0.99552,0.99948,0.99918,0.00448,0.00052,0.00082
NY-3,0.98978,0.9966000000000002,0.9944,0.01022,0.0034,0.005599999999999999
NY-27,0.17614000000000002,0.17416,0.20108,0.82378,0.82576,0.79884
NY-26,0.9997399999999999,1.0,1.0,0.00026,0.0,0.0
NY-25,0.98756,0.99956,0.9993,0.01244,0.00044000000000000007,0.0006999999999999999
NY-24,0.25604,0.13098,0.18308,0.74396,0.86902,0.81692
NY-23,0.14768,0.03108,0.043,0.85232,0.96892,0.9570000000000001
NY-22,0.50376,0.68132,0.7056600000000001,0.49624,0.31868,0.29434
NY-21,0.22387999999999997,0.03688,0.06828,0.7761200000000001,0.96312,0.93172
NY-20,0.9988800000000001,0.99996,0.99992,0.00112,4.0e-05,8.0e-05
NY-2,0.2359,0.07914,0.20114,0.7641,0.92086,0.7988599999999999
NY-19,0.46880000000000005,0.56574,0.53546,0.5312,0.4342599999999999,0.46454
NY-18,0.97956,0.99228,0.9900999999999999,0.02044,0.00772,0.0099
NY-17,0.9997,0.9997,0.9997,0,0,0
NY-16,0.9998599999999999,0.9998599999999999,0.9998599999999999,0,0,0
NY-15,1.0,1.0,1.0,0.0,0.0,0.0
NY-14,1.0,1.0,1.0,0.0,0.0,0.0
NY-13,1.0,1.0,1.0,0.0,0.0,0.0
NY-12,1.0,1.0,1.0,0.0,0.0,0.0
NY-11,0.22982,0.2202,0.26048,0.77016,0.77976,0.73948
NY-10,1.0,1.0,1.0,0.0,0.0,0.0
NY-1,0.1619,0.09124,0.1157,0.8381000000000001,0.90876,0.8843
OH-9,0.9998,0.99996,0.99992,0.0002,4.0e-05,8.0e-05
OH-8,0.00342,0.00028,0.00032,0.99658,0.99972,0.99968
OH-7,0.01664,0.05968,0.10646000000000001,0.98336,0.9403200000000002,0.89354
OH-6,0.00296,0.00014,0.00014,0.99704,0.9998599999999999,0.9998599999999999
OH-5,0.02612,0.00264,0.0029,0.9738799999999999,0.99736,0.9971
OH-4,0.0083,0.02308,0.03794,0.9917,0.9769200000000001,0.96206
OH-3,0.9999800000000001,0.9999800000000001,0.9999800000000001,2.0e-05,2.0e-05,2.0e-05
OH-2,0.07238,0.02588,0.05138,0.92762,0.9741199999999999,0.9486199999999999
OH-16,0.29654,0.02996,0.05689999999999999,0.7034600000000001,0.97004,0.9431
OH-15,0.10236,0.02112,0.02744,0.89764,0.9788799999999999,0.97256
OH-14,0.1566,0.17138,0.19628,0.8434,0.8286200000000001,0.80372
OH-13,0.99858,0.99988,0.9998,0.0013999999999999998,0.0001,0.00018
OH-12,0.28734,0.41481999999999997,0.48672,0.71266,0.58518,0.51328
OH-11,1.0,0.9999800000000001,0.9999800000000001,0.0,0.0,0.0
OH-10,0.23894,0.05328,0.06798,0.76106,0.94672,0.93202
OH-1,0.34564,0.58276,0.62548,0.65436,0.41723999999999994,0.3745200000000001
OK-5,0.1372,0.08816,0.2073,0.8628,0.91184,0.7927
OK-4,0.00216,0.0002,0.0002,0.9978200000000002,0.9997799999999999,0.9997799999999999
OK-3,0.00018,2.0e-05,2.0e-05,0.99982,0.9999800000000001,0.9999800000000001
OK-2,0.00046,0.0002,0.00022000000000000003,0.99954,0.9998,0.9997799999999999
OK-1,0.03892,0.00366,0.00452,0.96108,0.99634,0.99548
OR-5,0.99194,0.9987600000000001,0.99812,0.00806,0.00124,0.00188
OR-4,0.98956,0.9965600000000001,0.99458,0.01042,0.00342,0.0054
OR-3,1.0,1.0,1.0,0,0,0
OR-2,0.03412,0.00166,0.0018,0.9658599999999999,0.99832,0.99818
OR-1,0.99958,0.99988,0.99976,0.0004,0.0001,0.00022000000000000003
PA-9,0.04086,0.00622,0.00776,0.95914,0.99378,0.99224
PA-8,0.9752,0.9030400000000001,0.8909199999999999,0.0248,0.09695999999999999,0.10908
PA-7,0.73508,0.9197,0.93412,0.26492,0.0803,0.06588
PA-6,0.92732,0.9828,0.9875799999999999,0.07268,0.0172,0.01242
PA-5,0.9981,0.99952,0.9998599999999999,0.0019,0.00048,0.00014
PA-4,0.985,0.9983999999999998,0.9975400000000001,0.015,0.0016,0.00246
PA-3,1.0,1.0,1.0,0.0,0.0,0.0
PA-2,1.0,1.0,1.0,0.0,0.0,0.0
PA-18,1.0,1.0,1.0,0,0,0
PA-17,0.8635199999999998,0.9670000000000001,0.98102,0.13648,0.033,0.01898
PA-16,0.14712,0.04992,0.0326,0.85288,0.9500800000000001,0.9674
PA-15,0.0013999999999999998,2.0e-05,2.0e-05,0.9986,0.9999800000000001,0.9999800000000001
PA-14,0.06364,0.01978,0.0133,0.93636,0.9802199999999999,0.9867
PA-13,0.00314,0.00016,0.00018,0.99686,0.99984,0.99982
PA-12,0.00314,0.0003,0.00032,0.99686,0.9997,0.99968
PA-11,0.0115,0.03056,0.06654,0.9885,0.9694400000000001,0.9334599999999998
PA-10,0.27014,0.19188,0.24475999999999998,0.72986,0.80812,0.75524
PA-1,0.44903999999999994,0.30234,0.26348,0.55096,0.69766,0.7365200000000001
RI-2,0.99946,0.99994,0.99988,0.00054,6.0e-05,0.00012
RI-1,0.99992,0.99996,0.99992,8.0e-05,4.0e-05,8.0e-05
SC-7,0.03456,0.00826,0.01098,0.96544,0.99174,0.98902
